-1.84;-0.33
2.16;0.21
-0.32;-0.23
3.80;0.97
-2.80;-0.24
-0.96;-0.72
-2.92;-0.66
-2.72;-0.21
0.96;-0.50
-2.52;-0.77
0.48;-0.61
-3.44;-0.78
-3.48;-0.87
1.92;-0.15
0.44;-0.55
2.44;-0.05
-0.48;-0.72
-3.88;-0.68
-3.12;-0.55
-1.40;-0.55
1.96;-0.24
2.28;0.40
-2.44;-0.69
3.64;0.69
0.28;-0.08
2.52;-0.09
-0.28;-0.13
1.48;-0.40
2.80;0.55
-3.20;-0.29
-3.72;-0.34
-3.24;-0.24
1.36;-0.09
-1.56;-0.69
-2.40;-0.56
-1.52;-0.76
-0.76;-0.15
2.32;0.33
-2.84;-0.36
-3.40;-0.65
3.92;0.62
-0.68;-0.25
3.72;0.96
-3.00;-0.82
-0.56;-0.65
-0.08;-0.56
3.28;0.77
3.36;0.59
2.68;0.45
3.12;0.40
3.84;0.87
-0.80;-0.20
-3.16;-0.40
-0.64;-0.38
2.04;-0.22
1.40;-0.22
1.80;0.22
3.40;0.46
1.80;0.22
-3.92;-0.83
0.88;-0.27
2.56;-0.01
-0.36;-0.36
1.44;-0.34
0.20;-0.11
0.52;-0.61
-0.16;-0.27
-2.76;-0.19
0.40;-0.43
3.44;0.34
1.32;0.05
0.16;-0.24
-0.88;-0.47
3.88;0.74
-2.36;-0.41
0.76;0.03
2.92;0.19
-2.20;-0.23
-0.20;-0.16
1.64;-0.02
-2.32;-0.28
-3.08;-0.69
1.56;-0.31
-0.52;-0.73
1.28;0.12
0.60;-0.39
-3.52;-0.87
-1.64;-0.41
-1.60;-0.56
2.64;0.30
1.76;0.27
-0.04;-0.66
1.68;0.13
2.84;0.45
-3.28;-0.26
3.04;0.12
-0.40;-0.52
-1.84;-0.33
3.32;0.71
-1.76;-0.16
-1.68;-0.27
-1.28;-0.18
2.40;0.07
2.12;0.05
-1.36;-0.41
3.16;0.57
0.00;-0.69
-3.84;-0.51
0.08;-0.54
-2.48;-0.78
1.84;0.12
-0.44;-0.65
-0.92;-0.61
-1.92;-0.63
-2.60;-0.59
0.80;-0.02
-0.60;-0.53
-1.20;-0.21
-1.00;-0.76
-2.28;-0.18
