-1.84;-0.23
2.16;0.35
-0.32;-0.10
3.80;1.03
-2.80;-0.28
-0.96;-0.65
-2.92;-0.54
-2.72;-0.20
0.96;-0.49
-2.52;-0.82
0.48;-0.62
-3.44;-0.74
-3.48;-0.93
1.92;-0.25
0.44;-0.73
2.44;0.07
-0.48;-0.71
-3.88;-0.65
-3.12;-0.49
-1.40;-0.63
1.96;-0.30
2.28;0.43
-2.44;-0.89
3.64;0.62
0.28;-0.13
2.52;-0.15
-0.28;-0.21
1.48;-0.50
2.80;0.62
-3.20;-0.25
-3.72;-0.36
-3.24;-0.15
1.36;0.03
-1.56;-0.52
-2.40;-0.64
-1.52;-0.91
-0.76;-0.16
2.32;0.30
-2.84;-0.17
-3.40;-0.73
3.92;0.57
-0.68;-0.31
3.72;1.06
-3.00;-0.86
-0.56;-0.70
-0.08;-0.56
3.28;0.81
3.36;0.38
2.68;0.41
3.12;0.26
3.84;0.86
-0.80;-0.04
-3.16;-0.42
-0.64;-0.27
2.04;-0.23
1.40;-0.06
1.80;0.26
3.40;0.35
1.80;0.26
-3.92;-0.90
0.88;-0.20
2.56;-0.16
-0.36;-0.39
1.44;-0.36
0.20;-0.14
0.52;-0.53
-0.16;-0.32
-2.76;-0.28
0.40;-0.50
3.44;0.39
1.32;0.13
0.16;-0.52
-0.88;-0.60
3.88;0.73
-2.36;-0.44
0.76;0.05
2.92;0.17
-2.20;-0.25
-0.20;-0.32
1.64;0.05
-2.32;-0.29
-3.08;-0.62
1.56;-0.44
-0.52;-0.57
1.28;0.12
0.60;-0.32
-3.52;-0.84
-1.64;-0.49
-1.60;-0.72
2.64;0.24
1.76;0.15
-0.04;-0.56
1.68;0.22
2.84;0.54
-3.28;-0.26
3.04;0.16
-0.40;-0.64
-1.84;-0.23
3.32;0.77
-1.76;-0.09
-1.68;-0.24
-1.28;-0.08
2.40;0.03
2.12;0.17
-1.36;-0.35
3.16;0.60
0.00;-0.67
-3.84;-0.58
0.08;-0.61
-2.48;-0.55
1.84;0.07
-0.44;-0.76
-0.92;-0.73
-1.92;-0.67
-2.60;-0.64
0.80;0.00
-0.60;-0.50
-1.20;-0.11
-1.00;-0.86
-2.28;-0.18
-0.84;-0.31
2.96;0.22
1;-0.66
-1.88;-0.62
-2.96;-0.69
-2.56;-0.70
3.96;0.63
-1.04;-0.67
3.6;0.70
3.08;0.16
-0.24;-0.15
2.48;0.04
1.04;-0.45
-2.68;-0.45
0.32;0.10
-3.56;-0.89
-3.36;-0.59
3;0.18
-2.16;-0.34
0.84;-0.06
-3.6;-0.66
-3.04;-0.93
0.36;-0.31
-2.64;-0.37
-2.08;-0.77
-3.76;-0.31
-1.16;-0.29
-1.48;-0.82
1.6;-0.22
1.12;-0.22
-1.08;-0.73
-3.64;-0.42
3.2;0.89
3.56;0.63
2.36;0.01
0.68;-0.02
-2.88;-0.30
-2.28;-0.18
3.24;0.81
-3.32;-0.47
0.72;0.07
3.76;1.03
-2.12;-0.46
-1.24;-0.20
-0.12;-0.52
-1.12;-0.52
3.52;0.23
2.88;0.23
1.52;-0.60
0.04;-0.73
2.2;0.36
-3.8;-0.41
-1.44;-0.71
1.24;0.26
2.76;0.55
-2.04;-0.82
-1.96;-0.85
1.88;-0.02
1.08;-0.45
3.48;0.23
2.64;0.24
-2;-0.83
0.16;-0.52
0.12;-0.34
1.2;-0.06
2.6;0.04
2.08;-0.15
-3.96;-1.04
2;-0.15
-1.72;-0.15
0.64;-0.34
-3.68;-0.40
-1.32;-0.31
0.56;-0.33
0.92;-0.43
-4;-1.03
1.16;-0.19
3.68;0.89
-0.72;-0.11
2.24;0.38
